iata_code,airport_name,city,country_code,country_name,airport_type,coordinates
CPR,Casper-Natrona County International Airport,Casper,US,United States,medium_airport,"42.908001, -106.463997"
CPS,St Louis Downtown Airport,Cahokia/St Louis,US,United States,small_airport,"38.570701599100005, -90.1561965942"
CRE,Grand Strand Airport,North Myrtle Beach,US,United States,medium_airport,"33.8116989136, -78.72389984130001"
CRG,Jacksonville Executive at Craig Airport,Jacksonville,US,United States,medium_airport,"30.3362998962, -81.51439666750001"
CRO,Corcoran Airport,Corcoran,US,United States,small_airport,"36.102661, -119.594815"
CRP,Corpus Christi International Airport,Corpus Christi,US,United States,medium_airport,"27.770399, -97.501198"
CRS,C David Campbell Field Corsicana Municipal Airport,Corsicana,US,United States,small_airport,"32.0280990601, -96.4005966187"
CRT,Z M Jack Stell Field,Crossett,US,United States,small_airport,"33.1782989502, -91.8802032471"
CRW,Yeager Airport,Charleston,US,United States,medium_airport,"38.3731, -81.593201"
CRX,Roscoe Turner Airport,Corinth,US,United States,small_airport,"34.9150009155, -88.6035003662"
CSE,Crested Butte Airpark,Crested Butte,US,United States,small_airport,"38.851918, -106.928341"
CSG,Columbus Metropolitan Airport,Columbus,US,United States,medium_airport,"32.516300201416016, -84.93890380859375"
CSM,Clinton Sherman Airport,Clinton,US,United States,small_airport,"35.3398017883, -99.20050048830001"
CSN,Carson Airport,Carson City,US,United States,small_airport,"39.1922, -119.734001"
CSQ,Creston Municipal Airport,Creston,US,United States,small_airport,"41.021400451699996, -94.36329650879999"
CSV,Crossville Memorial Airport Whitson Field,Crossville,US,United States,medium_airport,"35.95131, -85.08499"
CTB,Cut Bank International Airport,Cut Bank,US,United States,medium_airport,"48.608657, -112.378183"
CTH,Chester County G O Carlson Airport,Coatesville,US,United States,small_airport,"39.97900009, -75.8655014"
CTK,Canton Municipal Airport,Canton,US,United States,small_airport,"43.308842, -96.571225"
CTO,Calverton Executive Airpark,Calverton,US,United States,small_airport,"40.9151, -72.791901"
CTW,Cottonwood Airport,Cottonwood,US,United States,small_airport,"34.73, -112.035004"
CTX,Cortland County Chase Field,Cortland,US,United States,small_airport,"42.59260178, -76.21489716"
CTY,Cross City Airport,Cross City,US,United States,small_airport,"29.6354999542, -83.10479736330001"
CTZ,Sampson County Airport,Clinton,US,United States,small_airport,"34.9756011963, -78.3646011353"
CUB,Jim Hamilton L.B. Owens Airport,Columbia,US,United States,medium_airport,"33.970500946, -80.9952011108"
CUH,Cushing Municipal Airport,Cushing,US,United States,small_airport,"35.950496, -96.772371"
CUS,Columbus Airport,Columbus,US,United States,small_airport,"31.823898, -107.629924"
CUX,Cuddihy Field,Corpus Christi,US,United States,small_airport,"27.7211, -97.512802"
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,US,United States,large_airport,"39.048801, -84.667801"
CVN,Clovis Municipal Airport,Clovis,US,United States,medium_airport,"34.426594, -103.078794"
CVO,Corvallis Municipal Airport,Corvallis,US,United States,medium_airport,"44.49720001, -123.2900009"
CVS,Cannon Air Force Base,Clovis,US,United States,medium_airport,"34.382801, -103.321999"
CWA,Central Wisconsin Airport,Mosinee,US,United States,medium_airport,"44.777448, -89.670238"
CWF,Chennault International Airport,Lake Charles,US,United States,small_airport,"30.2106, -93.143204"
CWI,Clinton Municipal Airport,Clinton,US,United States,small_airport,"41.8311004639, -90.3291015625"
CWS,Center Island Airport,Center Island,US,United States,small_airport,"48.490046, -122.831612"
CWX,Cochise County Airport,Willcox,US,United States,small_airport,"32.245399, -109.894997"
CXC,Chitina Airport,Chitina,US,United States,small_airport,"61.582901, -144.427002"
CXF,Coldfoot Airport,Coldfoot,US,United States,small_airport,"67.25219726559999, -150.203994751"
CXL,Calexico International Airport,Calexico,US,United States,small_airport,"32.6694984436, -115.513000488"
CXO,Conroe-North Houston Regional Airport,Houston,US,United States,medium_airport,"30.351801, -95.414497"
CYF,Chefornak Airport,Chefornak,US,United States,small_airport,"60.136667, -164.279167"
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,US,United States,medium_airport,"41.155701, -104.811997"
